country,broadband,percentage
Nigeria,67836424,38
Egypt,41326468,49.56
Morocco,18756029,56
IvoryCoast,540924,2.6
Pakistan,20179489,10.9
Kenya,17762932,39
Uganda,6292829,16.2
Cameroon,1460392,6.4
Ghana,3252388,12.3
Bangladesh,10303317,6.5
Myanmar,644627,1.2
Tanzania,2233328,4.4
Indonesia,39994897,15.82
Vietnam,40628554,43.9
Philippines,37035704,37
Malaysia,20195702,66.9
Algeria,6588276,16.5
SriLanka,4696625,21.9
Tunisia,4869202,43.8
Nepal,3740058,13.3
Azerbaijan,5585239,58.7
Senegal,3040568,20.9
Angola,4228217,19.1
Zambia,2313234,15.4
Mosambique,1429541,5.4
Ethiopia,1833615,1.9
Rwanda,1052704,8.7
Bulgaria,3803340,53.06
Slovenia,1508540,72.68
Belarus,5091262,54.7
Croatia,2851589,66.75
Slovakia,4247695,77.88
Lebanon,3500969,70.5
Usbekistan,11202119,38.2
