country,population
Nigeria,178516904
Egypt,83386739
Morocco,33492909
IvoryCoast,20804774
Pakistan,185132926
Kenya,45545980
Uganda,38844624
Cameroon,22818632
Ghana,26442178
Bangladesh,158512570
Myanmar,53718958
Tanzania,50757459
Indonesia,252812245
Vietnam,92547959
Philippines,100096496
Malaysia,30187896
Algeria,39928947
SriLanka,21445775
Tunisia,11116899
Nepal,28120740
Azerbaijan,9514887
Senegal,14548171
Angola,22137261
Zambia,15021002
Mosambique,26472977
Ethiopia,96506031
Rwanda,12100049
Bulgaria,7167998
Slovenia,2075592
Belarus,9307609
Croatia,4272044
Slovakia,5454154
Lebanon,4965914
Usbekistan,29324920
